Group,feature,n_detected,n_total,Donor,gene_id,order
AB,DonA__EMOJOO_01265,10,10,DonA,EMOJOO_01265,first
AB,DonA__EMOJOO_01270,10,10,DonA,EMOJOO_01270,first
AB,DonA__EMOJOO_01275,10,10,DonA,EMOJOO_01275,first
AB,DonA__EMOJOO_01280,10,10,DonA,EMOJOO_01280,first
AB,DonA__EMOJOO_01285,10,10,DonA,EMOJOO_01285,first
AB,DonA__EMOJOO_01290,10,10,DonA,EMOJOO_01290,first
AB,DonA__EMOJOO_01295,10,10,DonA,EMOJOO_01295,first
AB,DonA__EMOJOO_01300,10,10,DonA,EMOJOO_01300,first
AB,DonA__EMOJOO_01305,10,10,DonA,EMOJOO_01305,first
AB,DonA__EMOJOO_01310,10,10,DonA,EMOJOO_01310,first
AB,DonA__EMOJOO_01315,10,10,DonA,EMOJOO_01315,first
AB,DonA__EMOJOO_01320,10,10,DonA,EMOJOO_01320,first
AB,DonA__EMOJOO_01325,10,10,DonA,EMOJOO_01325,first
AB,DonA__EMOJOO_01330,10,10,DonA,EMOJOO_01330,first
AB,DonA__EMOJOO_01335,10,10,DonA,EMOJOO_01335,first
AB,DonA__EMOJOO_01340,10,10,DonA,EMOJOO_01340,first
AB,DonA__EMOJOO_01345,10,10,DonA,EMOJOO_01345,first
AB,DonA__EMOJOO_01350,10,10,DonA,EMOJOO_01350,first
AB,DonA__EMOJOO_01355,10,10,DonA,EMOJOO_01355,first
AB,DonA__EMOJOO_01360,10,10,DonA,EMOJOO_01360,first
AB,DonA__EMOJOO_01365,10,10,DonA,EMOJOO_01365,first
AB,DonA__EMOJOO_01370,10,10,DonA,EMOJOO_01370,first
AB,DonA__EMOJOO_01375,10,10,DonA,EMOJOO_01375,first
AB,DonA__EMOJOO_01380,10,10,DonA,EMOJOO_01380,first
AB,DonA__EMOJOO_01385,10,10,DonA,EMOJOO_01385,first
AB,DonA__EMOJOO_01390,10,10,DonA,EMOJOO_01390,first
AB,DonA__EMOJOO_01400,10,10,DonA,EMOJOO_01400,first
AB,DonA__EMOJOO_01410,10,10,DonA,EMOJOO_01410,first
AB,DonA__EMOJOO_01415,10,10,DonA,EMOJOO_01415,first
AB,DonA__EMOJOO_01420,10,10,DonA,EMOJOO_01420,first
AB,DonA__EMOJOO_01425,10,10,DonA,EMOJOO_01425,first
AB,DonA__EMOJOO_01430,10,10,DonA,EMOJOO_01430,first
AB,DonA__EMOJOO_01435,10,10,DonA,EMOJOO_01435,first
AB,DonA__EMOJOO_01445,10,10,DonA,EMOJOO_01445,first
AB,DonA__EMOJOO_01450,10,10,DonA,EMOJOO_01450,first
AB,DonA__EMOJOO_01455,10,10,DonA,EMOJOO_01455,first
AB,DonA__EMOJOO_01460,10,10,DonA,EMOJOO_01460,first
AB,DonA__EMOJOO_01470,10,10,DonA,EMOJOO_01470,first
AB,DonA__EMOJOO_01475,10,10,DonA,EMOJOO_01475,first
AB,DonA__EMOJOO_01480,10,10,DonA,EMOJOO_01480,first
AB,DonA__EMOJOO_01485,10,10,DonA,EMOJOO_01485,first
